created_at,username,acctdesc,location,total_tweets_created,account_creation_date,retweetcounts,hashtags,tweet_text
2021-03-30 08:31:54,sweetnuthin74,"Hard-working mother of 2;from Caribbean heritage; sister/aunt/friend
*YRDSB teacher*
#SELskills is a MUST!
#RESILIENT 
#BlackLivesMatter","Ontario, CA",106,2013-08-31 03:31:51,0,"[{'text': 'pandemicfatigue', 'indices': [26, 42]}]","💔Just think about this...
#pandemicfatigue https://t.co/sIvKHZTPFo"
2021-03-30 07:21:31,NftsTyizer,"By purchasing my NFTs you will be helping my purchase my first home.
I am grateful that you stopped by to look at my work!",Earth,113,2021-03-22 03:54:18,4,[],"Every year I treat myself to some 'just for fun' artwork for my birthday. Here's 2021's - ""Pandemic Birthday 2.0""💀💀💀 

#2021birthday #pandemicfatigue #artistsontwitter https://t.co/RyM5c4VLui"
2021-03-30 06:18:29,JosMirek,"Green, anti-imperialist and anti-fascist.  Retweets - not always an endorsement.",,332208,2014-01-28 20:58:48,52,[],"""Timing is critical""

""By the time the [] vaccine was available, concern was lower, &amp; so a lot of people chose not to get it.""

""An important aspect of timing is repetition.""

""This makes it important that people hear similar messages from a range of messengers.""

#COVIDFatigue https://t.co/lY8t8UWySz"
2021-03-30 04:53:17,mirandambailey,"Sun-Aquarius /Rising-Virgo/ Moon-Leo ~ Basically a workaholic, Multi-Passionate Renaissance Woman🍒
https://t.co/B6EzvwaaHu",Hollywood,10954,2008-10-06 00:58:26,2,[],You know the world has gone to shit when AGENT PROVOCATEUR is selling face masks for $70 and you actually consider it.  @TheMissAP #covid #covidfatigue
2021-03-30 02:50:04,Shys_F,never liked the system 🇳🇬❤️.,Ocean 11,28601,2013-09-29 17:04:25,312,[],"“see you down the road.”  i don’t care if i ever go to another globes, but i dearly hope this thing is in person next year.  i miss the meaningless red carpet nonsense and all the togetherness.  #covidfatigue #GoldenGlobes https://t.co/UqIgkU1or7"
2021-03-30 02:46:37,AineWaterford,,,11813,2019-08-22 21:25:15,3,"[{'text': 'covidfatigue', 'indices': [67, 80]}, {'text': 'clairebyrnelive', 'indices': [82, 98]}]",When Luke O’Neill comes on this is all I see 🤤 #covidfatigue  #clairebyrnelive https://t.co/jK40x1lCxk
2021-03-30 02:41:27,BaileyeTighe,"Was born a Ravenclaw, but life made me a Slytherin",,2589,2014-01-04 02:08:16,0,"[{'text': 'pandemicfatigue', 'indices': [234, 250]}]",Normally I really love cooking delicious food for my family. Cooking food is my love language. For the past few months I have had no energy for cooking and have been eating a v utilitarian diet. It seems healthier and so much sadder. #pandemicfatigue
2021-03-30 00:18:15,Alexandria_SZ,@NYTimesBooks Top 100 Books Of Year @UofR KafkaPrize @UofCincy EllistonPoetryPrize. #Migraine writer @TheMightySite etc. CoHost #SexAbuseChat #BookMarketingChat,#MeToo #BelieveSurvivors,204972,2011-09-11 01:40:15,2,"[{'text': 'success', 'indices': [48, 56]}]","Is the unattainable definition of #success of earning an income depressing you into immobility? Try refocusing to lift you up off the couch into being quietly pleased. @PsychToday https://t.co/nuwQkCNJfd
#pandemic #MondayBlogs #LongCovid #BrainInjury #concussion #COVIDFatigue"
2021-03-29 23:37:51,BOBODAYDREAM,,,31714,2011-02-23 11:02:48,3,"[{'text': 'covidfatigue', 'indices': [67, 80]}, {'text': 'clairebyrnelive', 'indices': [82, 98]}]",When Luke O’Neill comes on this is all I see 🤤 #covidfatigue  #clairebyrnelive https://t.co/jK40x1lCxk
2021-03-29 23:31:48,sobercompanion1,"🇨🇦 My name is Rob; And Iam a person in Long-term Recovery.
 I'm a Peer Recovery Support Specialist with lived experience in Co-occurring Disorders. 🇨🇦",Winnipeg Manitoba Canada,7561,2013-11-17 23:13:12,0,"[{'text': 'PandemicFatigue', 'indices': [60, 76]}]",@milliedechirico @EddieMuller Something to look forward to! #PandemicFatigue
